molecule,nucleus,ref_ppm,HF,MP2,CCSD-Λ,t_seconds
H₂,1H,26.7,28.921222685142492,28.921222685142492,28.921222685142492,2.9
HF,19F,418.6,204.3875485691324,203.9367390544112,204.40520395212005,16.9
HF,1H,28.5,109.8469598667595,109.81853196568782,109.84811500104017,17.3
N₂,15N,-58.1,167.19004329720676,167.06576569125343,167.09607476161244,19.9
CO,13C,5.6,80.95816012053064,81.13322027297512,80.43817680834856,23.7
CO,17O,-52.9,175.55854971118697,173.2838832101637,175.48799941465734,23.1
F₂,19F,-188.7,252.1357202407971,251.63748027383988,252.12661601401197,21.8
