molecule,nucleus,ref_ppm,HF,MP2,MP3,CCSD,CCSD-Λ,t_seconds
H₂,1H,26.7,27.73946122575662,27.73946122575662,27.73946122575662,27.73946122575662,27.73946122575662,18.1
HF,19F,418.6,218.74713777674415,218.7471388032657,218.74713884422525,218.74713771401383,218.7471377140092,11.0
HF,1H,28.5,114.74221523937811,114.74220089958354,114.74220032695892,114.74221572159736,114.74221572163299,18.5
N₂,15N,-58.1,140.73118681312306,140.68889394302997,140.68043363284858,140.6657187302662,140.66396542791435,155.5
CO,13C,5.6,74.25842844339995,74.18805817945375,74.16609259934917,74.21019549177822,74.20909218213515,139.4
CO,17O,-52.9,212.43846292598005,212.41994474824432,212.41481455339192,212.44267708726235,212.44277533832596,67.3
F₂,19F,-188.7,263.8767673874984,263.7341545462333,263.70358324659867,263.57855124717184,263.5585376220851,35.2
