name,smiles,cas,source,D_exp_eV,cccbdb_status,cccbdb_diff_pct,burcat_status,burcat_diff_pct,combined_status,best_diff_pct
CuCl,Cl[Cu],7758-89-6,HH,3.75,warn_1-2%,1.103,warn_1-2%,1.602,ok_consensus,1.103
CuCl,[Cu]Cl,7758-89-6,Luo2007,3.83,ok_<1%,-0.522,ok_<1%,-0.521,ok_consensus,-0.521
CuCl2,Cl[Cu]Cl,7447-39-4,JANAF,6.46,n/a,,n/a,,n/a,
CuF,[Cu]F,13478-41-6,HH,4.42,ok_<1%,0.672,warn_1-2%,-1.568,ok_consensus,0.672
CuF2,F[Cu]F,,JANAF,7.91,n/a,,n/a,,n/a,
CuH,[Cu][H],13517-00-5,HH,2.64,n/a,,n/a,,n/a,
CuO,[Cu]=O,163686-95-1,CRC,2.75,n/a,,n/a,,n/a,
Cyanoacetylene,C#CC#N,1070-71-9,ATcT_0K,25.3782,warn_1-2%,1.556,ok_<1%,0.515,ok_consensus,0.515
Cyclobutene,C1CC=C1,822-35-5,ATcT_0K,41.0822,ok_<1%,0.084,warn_1-2%,1.367,ok_consensus,0.084
Cycloheptatriene,C1C=CC=CC=C1,544-25-2,ATcT_0K,67.3747,n/a,,warn_1-2%,-1.708,ok_one_source,-1.708
Cyclopropanone,C1CC1=O,5009-27-8,ATcT_0K,33.3172,ok_<1%,0.8,n/a,,ok_one_source,0.8
DIPK,CC(C)C(=O)C(C)C,565-80-0,NIST,89.436,n/a,,n/a,,n/a,
DMA,CNC,124-40-3,NIST,36.34,warn_1-2%,-1.587,warn_1-2%,-1.521,ok_consensus,-1.521
DMC,COC(=O)OC,616-38-6,NIST,49.33,n/a,,ok_<1%,0.578,ok_one_source,0.578
DMDSch,CSCSC,1618-26-4,NIST,46.73,n/a,,n/a,,n/a,
DME,COC,115-10-6,NIST,32.9,ok_<1%,0.008,ok_<1%,0.007,ok_consensus,0.007
DMF,CN(C)C=O,68-12-2,NIST,47.84,ok_<1%,-0.571,n/a,,ok_one_source,-0.571
DMS,CSC,75-18-3,NIST,31.67,ok_<1%,0.011,ok_<1%,-0.059,ok_consensus,0.011
DMSO,CS(=O)C,67-68-5,NIST,35.428,ok_<1%,-0.002,n/a,,ok_one_source,-0.002
DMSO,CS(C)=O,67-68-5,NIST,35.29,ok_<1%,0.389,n/a,,ok_one_source,0.389
Diazirine,C1N=N1,157-22-2,ATcT_0K,18.2849,n/a,,warn_1-2%,1.348,ok_one_source,1.348
Dibromofluorochloromethane,C(F)(Cl)(Br)Br,353-55-9,ATcT_0K,13.4937,n/a,,fail_>2%,2.043,single_fail,2.043
Dibromomethane,C(Br)Br,74-95-3,ATcT_0K,13.8914,ok_<1%,0.582,fail_>2%,2.455,one_source_fail,0.582
Dibromophosgene,C(=O)(Br)Br,593-95-3,ATcT_0K,13.2659,n/a,,fail_>2%,2.42,single_fail,2.42
Dichlorodibromomethane,C(Cl)(Cl)(Br)Br,594-18-3,ATcT_0K,11.8866,n/a,,fail_>2%,2.856,single_fail,2.856
Dichlorodifluoromethane,C(F)(F)(Cl)Cl,75-71-8,ATcT_0K,16.5227,ok_<1%,-0.466,warn_1-2%,1.233,ok_consensus,-0.466
Dichlorofluorobromomethane,C(F)(Cl)(Cl)Br,353-58-2,ATcT_0K,14.1793,n/a,,warn_1-2%,1.638,ok_one_source,1.638
Dichloromethane,C(Cl)Cl,75-09-2,ATcT_0K,15.2319,ok_<1%,0.068,warn_1-2%,1.109,ok_consensus,0.068
Difluorobromomethane,C(F)(F)Br,1511-62-2,ATcT_0K,16.6348,warn_1-2%,1.595,warn_1-2%,1.389,ok_consensus,1.389
Difluorochlorobromomethane,C(F)(F)(Cl)Br,353-59-3,ATcT_0K,15.8196,n/a,,warn_1-2%,1.601,ok_one_source,1.601
Difluorodibromomethane,C(F)(F)(Br)Br,75-61-6,ATcT_0K,15.0293,n/a,,fail_>2%,2.315,single_fail,2.315
Difluoromethane,C(F)F,75-10-5,ATcT_0K,18.0484,ok_<1%,0.052,warn_1-2%,1.306,ok_consensus,0.052
